gripperX,gripperY,gripperRot,gripperGrasp,targetX,targetY,box1X,box1Y,box1Rot,box2X,box2Y,box2Rot
0,0,0,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,0,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,0,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,0,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,0,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,0,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,0,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,0,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,0,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,0,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,0,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,0,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,0,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,0,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,0,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,0,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,0,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,0.8828394412994385,0,21.748461504531747,319.83226818519177,-169.0801499361855,183.17435252471012,2.19046884828276,-31.065659195432982,84.70562719727158,1.8300053691963947
0,0,1,0,37.58373849707436,318.36007593742346,-159.7875743152646,191.33444964180794,2.1408536231275614,-26.826465624209224,86.1420872874756,1.780390144041196
0,0,1,0,58.490055002120265,315.1897663569479,-146.8261250703918,201.45230086078294,2.074880177402176,-21.08913714719379,87.72323953501031,1.7144166983158105
0,0,1,0,79.9007055974096,310.4537849589446,-132.71062862299897,211.0185526814602,2.006463270723998,-15.042727061700518,88.95973708750003,1.6459997916376325
0,0,1,0,96.46604887558694,305.7122450354767,-121.1808457656649,217.84430941571063,1.9527071297625724,-10.24116831337903,89.63948310709398,1.592243650676207
0,0,1,0,113.85181745641792,299.67221928662156,-108.47908378915702,224.4398113204402,1.895285797371959,-5.079898868805692,90.0794820567517,1.5348223182855936
0,0,1,0,133.36020779343343,291.5145456535415,-93.44676327424455,231.10310027963067,1.8293123516465735,0.8696959583255379,90.2184132484606,1.468848872560208
0,0,1,0,149.8703663203394,283.38057210984977,-80.02979215021506,236.08509672082886,1.77189101925596,6.045877687176939,90.01980794870448,1.4114275401695946
0,0,1,0,161.50900041069144,276.9124737830309,-70.15687717611131,239.20483504767577,1.730352183058495,9.77890523176681,89.69108914824295,1.3698887039721295
0,0,1,0,173.19869221527037,269.7552378828232,-59.8673297193942,241.98521309691444,1.6875916163846338,13.604039531928066,89.1910789739853,1.3271281372982684
0,0,1,0,188.07740719218214,259.6007786085485,-46.18049723126455,244.96592048846898,1.6313920144704164,18.59242669042192,88.28612648593906,1.270928535384051
0,0,1,0,200.22859844773956,250.34812504580967,-34.46049080687285,246.88745431600847,1.583744525890971,22.776346330290526,87.30038091539237,1.2232810468046056
0,0,1,0,213.97454111697664,238.7060349134009,-20.53841117657606,248.43331940710294,1.5275449239767536,27.644051861923842,85.88320474216835,1.1670814448903881
0,0,1,0,229.24588645988206,224.08034026107993,-4.115615581572513,249.2468700579296,1.461571478251368,33.24581499975794,83.87391874195346,1.1011079991650026
0,0,1,0,241.7279764504375,210.55465027273854,10.195391255453146,249.0722676703249,1.4041501458607546,38.0045268103678,81.82771169994903,1.0436866667743891
0,0,1,0,254.84564632297923,194.47203372341608,26.290613992623115,247.89058905327695,1.339398430611765,43.219665142087635,79.19708962541337,0.9789349515253996
0,0,1,0,267.11192529268874,177.24811625721597,42.5757551616803,245.6180889057286,1.2734249848863795,48.346758041912004,76.17551737249154,0.912961505800014
0,0,1,0,276.8439151515131,161.62648914667523,56.60155257189764,242.76985968554754,1.216003652495766,52.63877162576352,73.27535862662602,0.8555401734094006
0,0,1,0,285.6633434307881,145.47209206663015,70.4407740835922,239.12138731571895,1.1585823201051526,56.757271839981996,70.13366205619332,0.7981188410187872
