A,B,C,D,E,F,G,H,I,J,K,L
0.0,0.1406424045562744,0.0,0.0,-264.31137997659494,-284.1207880148264,-101.847600784565,-104.89966147119956,1.200825310529955,38.857218347647255,-405.3433101066964,0.9911993918283716
0.0,0.1250171661376953,0.0,0.0,-264.311379976595,-284.35284798234414,-101.84760078456505,-105.13172143871743,1.200825310529955,38.85721834764728,-405.57537007421433,0.9911993918283716
0.0,0.1406424045562744,0.0,0.0,-264.31137997659494,-284.55912630647134,-101.847600784565,-105.33799976284466,1.200825310529955,38.85721834764728,-405.78164839834153,0.9911993918283716
0.0,0.13282978534698486,0.0,0.0,-264.31137997659494,-284.7911862739893,-101.847600784565,-105.57005973036252,1.200825310529955,38.85721834764728,-406.0137083658593,0.9911993918283716
0.0,0.1406424045562744,0.0,0.0,-264.31137997659494,-285.0037139305445,-101.847600784565,-105.78258738691774,1.200825310529955,38.85721834764728,-406.22623602241447,0.9911993918283716
0.0,0.13282978534698486,0.0,0.0,-264.31137997659494,-285.2428060182902,-101.847600784565,-106.02167947466343,1.200825310529955,38.85721834764729,-406.4653281101602,0.9911993918283716
0.0,0.13282978534698486,0.0,0.0,-264.31137997659494,-285.46861665338014,-101.84760078456499,-106.2474901097533,1.200825310529955,38.85721834764729,-406.69113874525016,0.9911993918283716
0.0,0.13282978534698486,0.0,0.0,-264.31137997659494,-285.6745028206679,-101.84760078456499,-106.45337627704114,1.200825310529955,38.85721834764731,-406.897024912538,0.9911993918283716
0.0,0.13282978534698486,0.0,0.0,-264.31137997659494,-285.90031345575784,-101.84760078456499,-106.67918691213104,1.200825310529955,38.85721834764731,-407.12283554762786,0.9911993918283716
0.0,0.13282978534698486,0.0,0.0,-264.31137997659494,-286.1261240908477,-101.84760078456499,-106.9049975472209,1.200825310529955,38.85721834764731,-407.34864618271774,0.9911993918283716
0.0,0.1406424045562744,0.0,0.0,-264.31137997659494,-286.3452932366702,-101.84760078456499,-107.12416669304342,1.200825310529955,38.85721834764731,-407.5678153285402,0.9911993918283716
0.0,0.1406424045562744,0.0,0.0,-264.31137997659494,-286.5703210839602,-101.84760078456499,-107.34919454033346,1.200825310529955,38.85721834764731,-407.79284317583017,0.9911993918283716
0.0,0.13282978534698486,0.0,0.0,-264.31137997659494,-286.80941317170584,-101.84760078456499,-107.58828662807915,1.200825310529955,38.85721834764731,-408.031935263576,0.9911993918283716
0.0,0.13282978534698486,0.0,0.0,-264.31137997659494,-287.0219408282611,-101.84760078456499,-107.80081428463436,1.200825310529955,38.857218347647326,-408.2444629201311,0.9911993918283716
0.0,0.13282978534698486,0.0,0.0,-264.31137997659494,-287.24110997408366,-101.84760078456499,-108.01998343045686,1.200825310529955,38.85721834764731,-408.4636320659537,0.9911993918283716
0.0,0.13282978534698486,0.0,0.0,-264.31137997659494,-287.46692060917354,-101.84760078456499,-108.24579406554676,1.200825310529955,38.85721834764731,-408.6894427010436,0.9911993918283716
0.0,0.1406424045562744,0.0,0.0,-264.31137997659494,-287.6794482657287,-101.84760078456499,-108.45832172210196,1.200825310529955,38.857218347647326,-408.9019703575988,0.9911993918283716
0.0,0.13282978534698486,0.0,0.0,-264.31137997659494,-287.9115082332466,-101.84760078456495,-108.69038168961984,1.200825310529955,38.85721834764731,-409.13403032511667,0.9911993918283716
0.0,0.13282978534698486,0.0,0.0,-264.31137997659494,-288.13067737906914,-101.84760078456499,-108.90955083544235,1.200825310529955,38.85721834764731,-409.35319947093916,0.9911993918283716
0.0,0.13282978534698486,-1.0,0.0,-264.31137997659494,-288.3432050356243,-101.84760078456499,-109.12207849199757,1.200825310529955,38.85721834764731,-409.56572712749437,0.9911993918283716
0.0,0.13282978534698486,-1.0,0.0,-252.10000722444371,-299.2961221728946,-97.21886774803149,-113.48297844131821,1.2423641467274198,55.84106832641339,-407.8244265952017,1.0327382280258366
0.0,0.13282978534698486,-1.0,0.0,-239.8228260865629,-309.4330872162103,-92.5569656124465,-117.52827204019279,1.282681252448489,72.24237085879031,-405.4612691611872,1.0730553337469058
0.0,0.13282978534698486,-1.0,0.0,-227.14703930524246,-319.06696838924967,-87.73580150329039,-121.38237484829901,1.322998358169558,88.53509543323014,-402.43895816495615,1.1133724394679752
0.0,0.13282978534698486,-1.0,0.0,-213.69186262374055,-328.4500632525736,-82.61010949721829,-125.14667974359007,1.3645371943670233,105.18014004737287,-398.64083746623436,1.15491127566544
0.0,0.13282978534698486,-1.0,0.0,-200.6826605835965,-336.7636865159216,-77.64726802426925,-128.49226762534124,1.4036325696116965,120.68911909454485,-394.43758094575753,1.1940066509101133
0.0,0.13282978534698486,-1.0,0.0,-187.3584577936742,-344.56248703261633,-72.55745509494807,-131.6413243261103,1.4427279448563697,136.02196128144192,-389.6313613363077,1.2331020261547865
0.0,0.13282978534698486,-1.0,0.0,-173.30937277810193,-352.05318270288666,-67.18369979085196,-134.67785456759302,1.4830450505774389,151.62481382169003,-384.0512021873988,1.2734191318758556
0.0,0.13282978534698486,-1.0,0.0,-158.53082224613863,-359.1721122775548,-61.52361635926479,-137.57722570535748,1.5245838867749042,167.45185005080396,-377.6490231217344,1.3149579680733208
0.0,0.13282978534698486,-1.0,0.0,-143.91630502446202,-365.4890038199235,-55.91957388737898,-140.16420035143878,1.5649009924959731,182.5461995641024,-370.8117822260927,1.35527507379439
0.0,0.13282978534698486,-1.0,0.0,-129.51273793147735,-371.04711788346816,-50.3901613170851,-142.45510223370198,1.6039963677406464,196.90835090499542,-363.6059059518525,1.3943704490390632
0.0,0.13282978534698486,-1.0,0.0,-113.98320787820893,-376.3309249305016,-44.42159929680872,-144.65038116281406,1.6455352039381117,211.84729534876828,-355.34087874059423,1.4359092852365285
0.0,0.13282978534698486,-1.0,0.0,-99.17875246292688,-380.7108068131053,-38.725628390764705,-146.48845190469976,1.6846305791827842,225.58237022476627,-347.0015786577654,1.4750046604812008
0.0,0.13282978534698486,-1.0,0.0,-83.27408595041702,-384.726601708405,-32.59963587875249,-148.19585981877717,1.7261694153802494,239.8070539765496,-337.5601316720381,1.5165434966786662
0.0,0.13282978534698486,-1.0,0.0,-62.46663578332304,-388.9370002083956,-24.574242629084225,-150.02517904843725,1.779925556341675,257.61354264850263,-324.4794308526537,1.5702996376400915
0.0,0.13282978534698486,-1.0,0.0,-51.987529029014475,-390.62135913406166,-20.529537979989453,-150.7774796038915,1.806803626822388,266.2447519953849,-317.58496966821184,1.5971777081208045
0.0,0.13282978534698486,-1.0,0.0,-36.19199235150029,-392.61834064428336,-14.426756431740813,-151.70141252531425,1.8471207325434569,278.8378671789559,-306.81457338188,1.6374948138418737
0.0,0.1250171661376953,-1.0,0.0,-19.847176197231,-394.0082195865692,-8.105246402332844,-152.39526704963478,1.888659568740922,291.3477706160723,-295.1962570007315,1.6790336500393388
0.0,0.1250171661376953,-1.0,0.0,-4.42421679683439,-394.682757101012,-2.1348022788012844,-152.79548928790868,1.9277549439855948,302.6708308606271,-283.78311518787916,1.7181290252840116
0.0,0.1250171661376953,-1.0,0.0,11.01332208610556,-394.75396638684754,3.846722521074952,-152.96204840860364,1.9668503192302675,313.53915144614837,-271.9361279340482,1.7572244005286843
0.0,0.1250171661376953,-1.0,0.0,27.405552664184995,-394.1684431417897,10.204268354610043,-152.8827047173554,2.0083891554277327,324.5701761319767,-258.89359170426184,1.7987632367261497
0.0,0.1250171661376953,-1.0,0.0,42.79866739025578,-392.99596562284574,16.17977339074744,-152.56691947582496,2.047484530672405,334.4489454406285,-246.2096781660814,1.8378586119708225
0.0,0.13282978534698486,-1.0,0.0,59.09047519618181,-391.09201226630165,22.51027209287648,-151.9757633624593,2.0890233668698706,344.3935935689095,-232.3210151698639,1.8793974481682876
0.0,0.1250171661376953,-1.0,0.0,75.28971574314663,-388.5264231458543,28.81131268357777,-151.13550125128071,2.130562203067336,353.7534618461254,-218.044632392427,1.9209362843657525
0.0,0.1250171661376953,-1.0,0.0,90.42572019150816,-385.4866843740282,34.70430940188455,-150.09378701190022,2.1696575783120085,362.0133328222921,-204.25129175517225,1.9600316596104248
0.0,0.1250171661376953,-1.0,0.0,105.43134935565412,-381.8576713057278,40.5520872879561,-148.82253854142925,2.208752953556681,369.7277737414779,-190.14565048004206,1.999127034855098
0.0,0.1250171661376953,-1.0,0.0,121.66780239327463,-377.2202671666192,46.886168133423226,-147.17157900181115,2.2515135202305423,377.52741840322153,-174.3854679643074,2.041887601528959
0.0,0.1250171661376953,-1.0,0.0,135.87118029554142,-372.5364907525817,52.43247400818364,-145.4843512735286,2.289387164998819,383.86705734955774,-160.15912887893734,2.079761246297236
0.0,0.1250171661376953,-1.0,0.0,151.2330841100679,-366.78517386608667,58.437583603129035,-143.39384271245834,2.330926001196284,390.1956649258787,-144.29251366794273,2.121300082494701
0.0,0.1250171661376953,-1.0,0.0,165.90221349918554,-360.59759742155177,64.17806873099492,-141.12803205973788,2.3712431069173534,395.70277733135055,-128.65407038400184,2.16161718821577
0.0,0.1250171661376953,-1.0,0.0,180.31002479931442,-353.8237925209429,69.8225628188207,-138.63268560889549,2.4115602126384226,400.57508854653435,-112.80636459376413,2.20193429393684
0.0,0.11720454692840575,-1.0,0.0,194.4331017317583,-346.4747682828615,75.3618921591008,-135.9118589188721,2.451877318359492,404.80467985324736,-96.77515276278535,2.2422513996579085
0.0,0.1250171661376953,-1.0,0.0,208.24797120218875,-338.54958835417443,80.78653438338014,-132.9570936638085,2.492194424080561,408.38415753326325,-80.5736092533034,2.2825685053789777
0.0,0.1250171661376953,-1.0,0.0,222.13607141708823,-329.8220058805915,86.24696731773402,-129.69993529366653,2.533733260278026,411.38667708973884,-63.75752661901379,2.3241073415764433
0.0,0.1250171661376953,-1.0,0.0,235.2577390480814,-320.80663773948504,91.41290470579578,-126.3243625009334,2.574050365999095,413.6305111353276,-47.3303991919451,2.3644244472975116
0.0,0.1250171661376953,-1.0,0.0,247.62465159712173,-311.56622860902337,96.28831216768907,-122.8547978025593,2.613145741243768,415.1721914930162,-31.32718645566225,2.4035198225421848
0.0,0.13282978534698486,-1.0,0.0,259.98978586317486,-301.53834814961397,101.17018834081146,-119.08005924018178,2.653462846964837,416.10580607152224,-14.773833074079366,2.443836928263254
0.0,0.13282978534698486,-1.0,0.0,271.9412059016164,-291.03310555718554,105.89647165400149,-115.1244986683744,2.6937799526859063,416.3719790406486,1.7908187431713465,2.484154033984323
0.0,0.13282978534698486,-1.0,0.0,283.45948768081473,-280.05468364344813,110.45948072075602,-110.98165403569851,2.7340970584069755,415.9702778030844,18.352738136526074,2.5244711397053923
0.0,0.13282978534698486,-1.0,0.0,294.85414940772495,-268.26752916881054,114.98229721346024,-106.52449674661328,2.7756358946044406,414.858701310928,35.385243574517425,2.5660099759028574
0.0,0.13282978534698486,-1.0,0.0,305.12249835819165,-256.75040668236505,119.06629723941376,-102.16133276647604,2.8147312698491134,413.1669563776711,51.36076475333053,2.6051053511475297
0.0,0.13282978534698486,-1.0,0.0,316.424111793081,-242.9455440480693,123.572303200023,-96.9220128234415,2.8599352974757664,410.435076349925,69.7332646603103,2.650309378774183
0.0,0.13282978534698486,-1.0,0.0,324.83815638530535,-231.776938719086,126.93482015769736,-92.67639501452062,2.8953654812912517,407.7141711712,84.03576692368543,2.685739562589668
0.0,0.1250171661376953,-1.0,0.0,334.99111281363105,-217.10666352553315,131.00417681879637,-87.09119639810818,2.9405695089179043,403.5113225966874,102.12848448214727,2.7309435902163206
0.0,0.1250171661376953,-1.0,0.0,342.47781902028345,-205.28525841981065,134.01339361099264,-82.57716949451779,2.9759996927333887,399.6468328943589,116.17671868613792,2.766373774031806
0.0,0.1250171661376953,-1.0,0.0,350.4820929201001,-191.52057523049962,137.24117595418792,-77.31460743345195,3.0163167984544583,394.6477441815216,131.98443882778992,2.806690879752875
0.0,0.1250171661376953,-1.0,0.0,357.9250604948072,-177.44445582040495,140.2542215266049,-71.92622226903107,3.0566339041755275,389.0155689698059,147.57781903928162,2.8470079854739443
0.0,0.1250171661376953,-1.0,0.0,364.59486901716514,-163.51909019621388,142.9661340431701,-66.5892414253116,3.0957292794202003,382.9579893192569,162.47001189919442,2.886103360718617
0.0,0.1250171661376953,-1.0,0.0,371.0796297907468,-148.44989071185066,145.61687942034172,-60.8072073644334,3.1372681156176654,375.88959573804186,178.02057211715552,2.9276421969160817
0.0,0.1250171661376953,-1.0,0.0,376.76984435833685,-133.57856347590229,147.95776838303738,-55.094643869417936,-3.105600085840852,368.41712298577966,192.82047285519974,2.967959302637152
0.0,0.1250171661376953,-1.0,0.0,381.71073639001577,-118.9501607260367,150.00592515555255,-49.4694281469609,-3.066504710596179,360.60695517951007,206.87299574203686,3.0070546778818237
0.0,0.11720454692840575,-1.0,0.0,386.3299236873829,-103.20863823019549,151.93966528556768,-43.40982122472635,-3.024965874398714,351.71392400667304,221.45708438046864,3.048593514079289
0.0,0.1250171661376953,-1.0,0.0,390.1837236560346,-87.74651363912592,153.5736743671521,-37.44366755228964,-2.9846487686776446,342.50981734980036,235.26013881512927,3.0889106198003584
0.0,0.11720454692840575,-1.0,0.0,393.3230010119512,-72.6288453258442,154.9276441089294,-31.612439388656412,-2.945553393432972,333.06067397862597,248.26763457496142,3.128005995045031
0.0,0.11720454692840575,-1.0,0.0,395.9385634683191,-56.90970635829105,156.08371764009908,-25.53543853186744,-2.9052362877119027,322.79109443255606,261.2970607694081,-3.1148622064134868
0.0,0.11720454692840575,-1.0,0.0,397.96857889512376,-40.61759336278974,157.01775925686528,-19.230815564936677,-2.8636974515144376,311.67006994617014,274.27709732822046,-3.0733233702160208
